Group,Size,Direction,x_youbot_transformed,y_youbot_transformed,theta,x_optitrack,y_optitrack,accuracy_error
Group4,Medium,Straight,-198.8,46.17,-1.97,-214.270325,97.102974,53.23061897151207
Group4,Medium,Straight,-198.8,46.17,-1.97,-214.288849,97.068985,53.203487830921624
Group4,Medium,Straight,-198.8,46.17,-1.97,-214.300369,97.109322,53.2454313998473
Group4,Medium,Straight,-198.8,46.17,-1.97,-214.301605,97.111115,53.247506561521256
Group4,Medium,Straight,-198.8,46.17,-1.97,-214.288681,97.040672,53.176352910399416
Group4,Medium,Straight,-198.8,46.17,-1.97,-214.291977,97.098068,53.23222202370621
Group4,Medium,Straight,-198.8,46.17,-1.97,-214.287979,97.055687,53.19051264056787
Group4,Medium,Straight,-198.8,46.17,-1.97,-214.285187,97.101494,53.2335241882125
Group4,Medium,Straight,-198.8,46.17,-1.97,-214.303833,97.09613,53.23381964943704
Group4,Medium,Straight,-198.8,46.17,-1.97,-214.288467,97.08136,53.21521574756311
Group4,Medium,Straight,-198.8,46.17,-1.97,-214.288467,97.093536,53.226864727817514
Group4,Medium,Straight,-198.8,46.17,-1.98,-214.308426,97.078529,53.21832017211101
Group4,Medium,Straight,-198.8,46.17,-1.96,-214.277786,97.047333,53.17955314455626
Group4,Medium,Straight,-198.8,46.17,-1.97,-214.315918,97.092964,53.23431199825935
Group1,Small,Left,-182.60000000000002,40.870000000000005,-1.85,-195.848572,94.202423,54.953362072671325
Group1,Small,Left,-182.60000000000002,40.870000000000005,-1.86,-195.821655,94.247231,54.99037143142775
Group1,Small,Left,-182.60000000000002,40.870000000000005,-1.85,-195.84668,94.26741,55.01597882188864
Group1,Small,Left,-182.60000000000002,40.870000000000005,-1.85,-195.85791,94.261406,55.01285679025344
Group1,Small,Left,-182.60000000000002,40.870000000000005,-1.85,-195.885223,94.247665,55.00611121513638
Group1,Small,Left,-182.60000000000002,40.870000000000005,-1.85,-195.901779,94.250069,55.012444873951935
Group1,Small,Left,-182.60000000000002,40.870000000000005,-1.85,-195.821991,94.229362,54.9731075986352
Group1,Small,Left,-182.60000000000002,40.870000000000005,-1.87,-195.853729,94.235748,54.98694746942172
Group1,Small,Left,-182.60000000000002,40.870000000000005,-1.84,-195.820969,94.294273,55.03586982030437
Group1,Small,Left,-182.60000000000002,40.870000000000005,-1.85,-195.794037,94.198784,54.936707357431104
